areaname,state_name,county_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,total_pop
Bergen County,New Jersey,Bergen County,885329,888333,889442,889739,890232,887322,884581,885664,889915,895250,825380
Catron County,New Mexico,Catron County,3566,3464,3450,3379,3368,3298,3418,3458,3431,3443,2563
Allegany County,New York,Allegany County,49916,50175,50103,50220,50397,49824,49423,49183,49370,49157,50470
Alexander County,North Carolina,Alexander County,33674,33986,34368,34579,35189,35606,36031,36389,36586,36777,27544
Barnes County,North Dakota,Barnes County,11704,11419,11220,11100,11072,10993,10894,10807,10753,10753,12545
Allen County,Ohio,Allen County,108577,108193,107845,106527,105780,105528,105126,104895,104826,104357,109755
Alfalfa County,Oklahoma,Alfalfa County,6080,5926,5886,5800,5748,5656,5584,5571,5565,5481,6416
Benton County,Oregon,Benton County,78197,78175,79622,79414,78949,79427,80145,81583,81775,82605,70811
Allegheny County,Pennsylvania,Allegheny County,1279927,1272519,1265422,1257196,1245875,1232483,1223239,1219922,1218227,1218494,1336449
Kent County,Rhode Island,Kent County,167484,168686,169826,171083,171153,170551,169416,168658,168635,168752,161143
Aiken County,South Carolina,Aiken County,142726,143405,144706,145941,147589,148684,150834,153098,154601,156017,120991
Aurora County,South Dakota,Aurora County,3060,2982,2921,2928,2942,2886,2887,2865,2886,2868,3135
Bedford County,Tennessee,Bedford County,37822,38538,39185,40002,40981,42147,43444,44531,45384,45947,30411
Andrews County,Texas,Andrews County,12911,12769,12887,12816,12794,12743,12868,13144,13662,14057,14338
Box Elder County,Utah,Box Elder County,42872,43632,44522,45229,45575,45938,46722,47863,49059,49902,36485
Bennington County,Vermont,Bennington County,36976,36899,36938,36798,36686,36481,36552,36439,36446,36411,35845
Albemarle County,Virginia,Albemarle County,84622,85666,86366,87341,88736,90376,92007,92751,94287,94908,68177
Asotin County,Washington,Asotin County,20555,20467,20511,20499,20787,20899,21108,21167,21385,21432,17605
Berkeley County,West Virginia,Berkeley County,76414,78574,81087,84804,88604,92513,96819,99768,102336,103854,59253
Ashland County,Wisconsin,Ashland County,16854,16812,16793,16682,16584,16445,16447,16243,16217,16181,16307
Big Horn County,Wyoming,Big Horn County,11411,11233,11186,11102,11260,11218,11245,11375,11441,11581,10525
Barbour County,Alabama,Barbour County,29035,29223,29289,29480,29458,29452,29556,29736,29836,29737,25417
Coconino County,Arizona,Coconino County,116717,117803,120390,121545,123349,124804,126029,127451,128426,129849,96591
Baxter County,Arkansas,Baxter County,38465,38417,38642,38943,39546,40237,41155,41845,41946,42157,31186
Amador County,California,Amador County,35173,35700,36506,36860,37213,37788,38072,38480,37980,37876,30039
Arapahoe County,Colorado,Arapahoe County,491701,502810,509598,514406,519785,525293,532347,543414,554372,565360,391572
Litchfield County,Connecticut,Litchfield County,182628,183987,185656,186795,187772,187822,188393,188465,188647,188728,174092
Sussex County,Delaware,Sussex County,157389,160235,163717,167764,171370,175694,180508,185020,189662,192747,113229
Bay County,Florida,Bay County,148258,149807,152213,154726,157841,161586,163802,163300,163802,164767,126994
Bacon County,Georgia,Bacon County,10122,10098,10008,10091,10059,10277,10345,10564,10532,10601,9566
Kalawao County,Hawaii,Kalawao County,145,138,133,129,119,119,106,95,84,83,130
Bannock County,Idaho,Bannock County,75671,76703,77213,77327,78184,78604,79524,80204,81267,82539,66026
Bond County,Illinois,Bond County,17650,17608,17794,18062,18243,18120,18143,18312,18185,18103,14991
Bartholomew County,Indiana,Bartholomew County,71737,72009,71712,72009,72523,73200,73972,74676,75494,76063,63657
Allamakee County,Iowa,Allamakee County,14671,14343,14309,14371,14371,14419,14442,14421,14416,14407,13855
Atchison County,Kansas,Atchison County,16765,16792,16699,16688,16700,16567,16548,16447,16374,16411,16932
Anderson County,Kentucky,Anderson County,19184,19459,19434,19657,19908,20220,20800,21334,21468,21790,14571
Ascension Parish,Louisiana,Ascension Parish,77335,79168,81278,83760,86085,89382,95986,99702,102461,104822,58214
Cumberland County,Maine,Cumberland County,266058,268021,269830,272039,273500,274344,274695,276023,277512,278559,243135
Baltimore County,Maryland,Baltimore County,756037,762356,768275,774254,779301,782200,785900,787119,788454,789814,692134
Bristol County,Massachusetts,Bristol County,536008,538299,542717,545819,545460,544688,543634,544487,545810,547433,506325
Allegan County,Michigan,Allegan County,106048,107752,108798,109920,111153,111945,112414,112920,113355,113449,90509
Becker County,Minnesota,Becker County,30066,30273,30626,31063,31412,31508,31777,31858,31939,32076,27881
Amite County,Mississippi,Amite County,13578,13510,13420,13406,13307,13345,13512,13327,13243,13038,13328
Atchison County,Missouri,Atchison County,6405,6383,6251,6276,6261,6182,6061,6097,6015,6036,7457
Blaine County,Montana,Blaine County,6973,6754,6782,6709,6584,6605,6552,6493,6442,6485,6728
Arthur County,Nebraska,Arthur County,442,408,394,400,384,369,378,372,358,339,462
Douglas County,Nevada,Douglas County,41429,42145,43070,43942,45591,45731,45661,45775,45741,45464,27637
Cheshire County,New Hampshire,Cheshire County,73984,74383,75016,76008,76546,76830,77369,77445,77182,77045,70121
Burlington County,New Jersey,Burlington County,424547,429655,436318,442581,446041,446462,447131,446314,445492,446108,395066
Chaves County,New Mexico,Chaves County,61297,60824,60484,60757,60822,61321,61456,62429,62998,63622,57849
Bronx County,New York,Bronx County,1333854,1341319,1348285,1353712,1359139,1364566,1371353,1385122,1389315,1397287,1203789
Alleghany County,North Carolina,Alleghany County,10687,10750,10736,10749,10751,10713,10860,10963,11025,10964,9590
Benson County,North Dakota,Benson County,6957,6942,6798,6841,6917,6902,6893,6878,6864,6910,7198
Ashland County,Ohio,Ashland County,52584,52823,53045,53454,53609,53958,54317,54810,54982,55044,47507
Atoka County,Oklahoma,Atoka County,13840,13896,13987,14155,14290,14288,14308,14453,14573,14498,12778
Clackamas County,Oregon,Clackamas County,339546,344842,351647,355730,360709,365411,370897,375610,381229,386143,278850
Armstrong County,Pennsylvania,Armstrong County,72314,71797,71455,71174,70784,69822,69106,68804,68449,67851,73478
Newport County,Rhode Island,Newport County,85657,85442,85509,85255,84513,82794,83367,81305,80699,80300,87194
Allendale County,South Carolina,Allendale County,11200,10964,11003,10917,10814,10733,10544,10418,10407,10195,11727
Beadle County,South Dakota,Beadle County,16983,16806,16522,16154,15921,15754,15501,15760,15946,16266,18253
Benton County,Tennessee,Benton County,16535,16626,16479,16381,16322,16265,16139,16152,16071,16025,14524
Angelina County,Texas,Angelina County,80245,79983,80263,80662,80926,81126,82097,82585,82841,83675,69884
Cache County,Utah,Cache County,91872,93798,97277,100177,102229,104540,106399,108655,111873,115269,70183
Caledonia County,Vermont,Caledonia County,29728,29650,29872,29869,30200,30302,30543,30426,30256,30252,27846
Alleghany County,Virginia,Alleghany County,17200,17063,16914,16634,16586,16506,16479,16440,16319,16242,12815
Benton County,Washington,Benton County,143108,145611,149718,152586,154366,156050,157577,159444,164020,168294,112560
Boone County,West Virginia,Boone County,25491,25392,25522,25545,25453,25302,25089,25119,24780,24709,25870
Barron County,Wisconsin,Barron County,45026,45198,45442,45445,45607,45564,45678,45570,45656,45591,40750
Campbell County,Wyoming,Campbell County,33937,34526,35869,36086,36260,37061,38487,40462,41474,43967,29370
Cibola County,New Mexico,Cibola County,25644,26632,26695,26984,27179,27178,26978,27209,27200,27036,23794
Bibb County,Alabama,Bibb County,19936,20942,20983,21037,21208,21375,21285,21485,21589,21587,16598
Gila County,Arizona,Gila County,51355,51165,51225,50906,50848,50914,51635,52231,52273,52199,40216
Benton County,Arkansas,Benton County,154791,160429,167038,174785,183211,192183,201509,210963,219494,225504,97530
Butte County,California,Butte County,203926,206384,209319,211584,213173,214831,216933,217741,219503,220577,182120
Archuleta County,Colorado,Archuleta County,10038,10492,10951,11167,11374,11623,12096,12479,12497,12430,5345
Middlesex County,Connecticut,Middlesex County,155633,157061,159207,160784,161377,162025,163326,164034,164932,165702,143196
Bradford County,Florida,Bradford County,26078,26094,26343,27097,27791,28191,28610,28997,29171,29235,22515
Baker County,Georgia,Baker County,4053,4038,3954,4154,4056,3996,3902,3744,3772,3637,3615
Kauai County,Hawaii,Kauai County,58511,58748,59466,60061,61070,61759,62079,62922,63875,64529,51177
Bear Lake County,Idaho,Bear Lake County,6425,6365,6164,6133,6057,5936,5907,5856,5815,5774,6084
Boone County,Illinois,Boone County,42053,43187,44508,46089,47693,49455,51472,53162,53892,54020,30806
Benton County,Indiana,Benton County,9396,9289,9131,9100,8954,8837,8775,8697,8692,8613,9441
Appanoose County,Iowa,Appanoose County,13701,13558,13377,13452,13355,13315,13158,12926,12780,12698,13743
Barber County,Kansas,Barber County,5287,5123,5023,4952,4879,4829,4820,4716,4612,4593,5874
Ballard County,Kentucky,Ballard County,8300,8218,8151,8230,8217,8238,8169,8138,8200,8161,7902
Assumption Parish,Louisiana,Assumption Parish,23378,23176,23117,23081,23062,22864,23073,23093,23026,22874,22753
Franklin County,Maine,Franklin County,29479,29535,29808,29704,29672,29670,29840,29771,29767,29735,29008
Dukes County,Massachusetts,Dukes County,15072,15201,15380,15487,15520,15517,15487,15627,15772,15974,11639
Alpena County,Michigan,Alpena County,31276,31126,30845,30638,30476,30162,29807,29732,29600,29289,30605
Beltrami County,Minnesota,Beltrami County,39799,40418,41039,41620,42054,42653,43015,43237,43782,44350,34384
Attala County,Mississippi,Attala County,19643,19627,19585,19501,19364,19298,19466,19569,19700,19755,18481
Audrain County,Missouri,Audrain County,25807,25721,25801,25741,25544,25798,25941,25697,25777,25556,23599
Broadwater County,Montana,Broadwater County,4366,4364,4341,4357,4432,4427,4527,4582,4681,4793,3318
Banner County,Nebraska,Banner County,823,810,771,763,748,729,730,711,673,647,852
Elko County,Nevada,Elko County,45236,45006,44055,43487,43569,44428,45710,46993,47184,47896,33463
Coos County,New Hampshire,Coos County,33143,32908,32830,32826,32747,32790,32576,32317,31917,31487,34828
Camden County,New Jersey,Camden County,507648,507830,509783,510584,512710,514960,516547,517559,517739,517879,502824
Colfax County,New Mexico,Colfax County,14206,14052,14039,13761,13663,13490,13332,13178,12929,12737,12925
Broome County,New York,Broome County,200319,199999,199714,198364,197463,196103,195700,194978,194635,194630,212160
Anson County,North Carolina,Anson County,25310,25315,25265,25066,25465,25461,25314,25194,25189,25056,23474
Billings County,North Dakota,Billings County,877,883,860,830,804,788,759,785,798,827,1108
Ashtabula County,Ohio,Ashtabula County,102745,102665,102609,102473,102262,102051,101686,101400,100973,100767,99880
Beaver County,Oklahoma,Beaver County,5792,5641,5564,5519,5452,5403,5313,5325,5242,5270,6023
Clatsop County,Oregon,Clatsop County,35571,35542,35606,35778,36060,36447,36763,37088,37093,37243,33301
Beaver County,Pennsylvania,Beaver County,181113,179598,178611,177887,176877,175372,173928,173015,172396,171673,186093
Providence County,Rhode Island,Providence County,622881,627678,632849,636454,636721,633405,630186,628280,627437,627690,596270
Anderson County,South Carolina,Anderson County,166319,168716,169920,171196,172666,174332,177244,180155,182937,184901,145177
Bennett County,South Dakota,Bennett County,3573,3509,3501,3484,3482,3499,3421,3407,3367,3348,3206
Bledsoe County,Tennessee,Bledsoe County,12414,12476,12457,12523,12634,12702,12867,13056,13114,12967,9669
Aransas County,Texas,Aransas County,22537,22517,23007,23384,23748,24405,24388,24327,24549,24826,17892
Carbon County,Utah,Carbon County,20354,19691,19745,19665,19438,19180,19242,19666,19605,19989,20228
Chittenden County,Vermont,Chittenden County,147070,147979,148795,149093,149712,149983,150257,150698,151367,152313,131761
Amelia County,Virginia,Amelia County,11478,11539,11622,11644,11840,12095,12434,12660,12831,12886,8787
Chelan County,Washington,Chelan County,66688,66692,66927,67377,68152,69066,69919,70677,71308,72372,52250
Braxton County,West Virginia,Braxton County,14720,14712,14677,14633,14688,14666,14561,14557,14551,14434,12998
Bayfield County,Wisconsin,Bayfield County,15032,15048,15063,15053,15020,14980,14978,15021,14910,14789,14008
Carbon County,Wyoming,Carbon County,15579,15185,15224,15183,15185,15012,15042,15397,15564,15720,16659
Blount County,Alabama,Blount County,51181,51999,52775,53726,54469,55035,55978,56866,57794,58345,39248
Graham County,Arizona,Graham County,33541,33307,33120,32785,32441,32629,33286,34736,36204,37045,26554
Boone County,Arkansas,Boone County,34051,34253,34432,34507,34841,35408,35959,36653,36863,36821,28297
Calaveras County,California,Calaveras County,40696,41433,42583,44007,44852,45688,46524,46852,46944,46731,31998
Baca County,Colorado,Baca County,4501,4468,4331,4106,4050,3979,3912,3840,3782,3723,4556
New Haven County,Connecticut,New Haven County,824992,828610,832376,837258,838429,839408,841055,843619,845573,848006,804219
Brevard County,Florida,Brevard County,477735,485810,494239,502985,515890,526088,530319,534407,536314,536357,398978
Baldwin County,Georgia,Baldwin County,44738,44716,45061,45136,45446,45699,45754,46521,46950,46337,39530
Maui County,Hawaii,Maui County,128754,131349,132672,134742,137017,139012,140407,141930,144378,145157,100374
Benewah County,Idaho,Benewah County,9193,8974,8922,8898,8907,9050,9254,9283,9383,9258,7937
Brown County,Illinois,Brown County,6963,6935,6831,6847,6777,6681,6601,6530,6564,6591,5836
Blackford County,Indiana,Blackford County,14006,13774,13759,13722,13599,13511,13298,13245,13165,13051,14067
Audubon County,Iowa,Audubon County,6807,6657,6549,6438,6378,6251,6179,6132,6105,6032,7334
Barton County,Kansas,Barton County,28129,27904,27861,27777,27738,27880,27727,27694,27505,27464,29382
Barren County,Kentucky,Barren County,38118,38463,38599,38981,39371,40022,40510,41068,41419,41747,34001
Avoyelles Parish,Louisiana,Avoyelles Parish,41480,41345,41366,41607,41478,41313,42384,42197,42517,42511,39159
Hancock County,Maine,Hancock County,51862,51917,52047,52654,53088,53077,53225,53374,53371,53447,46948
Calvert County,Maryland,Calvert County,75163,77342,80396,83369,85341,86778,87608,88119,88560,89212,51372
Essex County,Massachusetts,Essex County,725379,730782,733096,732303,730901,730256,731174,733066,737365,742582,670080
Antrim County,Michigan,Antrim County,23258,23477,23757,24089,24219,24199,24206,24189,24013,23834,18185
