areaname,state_name,county_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,total_pop
Macon County,Alabama,Macon County,24075,23980,23651,23470,23041,22736,22544,22258,22195,21789,24928
Madison County,Arkansas,Madison County,14296,14302,14207,14270,14545,14840,15308,15538,15831,15875,11618
Santa Cruz County,California,Santa Cruz County,255834,255644,253708,251559,250420,248957,248758,250126,252929,256218,229734
Morgan County,Colorado,Morgan County,27256,27281,27499,27634,27607,27567,27639,27552,27540,27850,21939
Monroe County,Florida,Monroe County,79483,79105,78963,78880,77901,76135,74104,73420,73298,73165,78024
Decatur County,Georgia,Decatur County,28245,27982,28079,28064,28125,27962,28377,28543,28754,28838,25517
Washington County,Idaho,Washington County,9969,9931,9891,9879,9917,9954,9977,9974,10029,10119,8550
Johnson County,Illinois,Johnson County,12920,13020,12715,13445,13506,13486,13687,13688,13675,13730,11347
LaGrange County,Indiana,LaGrange County,34947,35366,35522,35754,36060,36311,36636,36931,37203,37204,29477
Henry County,Iowa,Henry County,20292,20336,19967,20105,20073,20166,20095,20134,20067,19929,19226
Jefferson County,Kansas,Jefferson County,18442,18458,18480,18486,18602,18625,18391,18365,18311,18207,15905
Green County,Kentucky,Green County,11549,11600,11589,11609,11467,11473,11530,11518,11533,11510,10371
St. Bernard Parish,Louisiana,St. Bernard Parish,66988,66554,66286,65727,65427,64951,14493,33439,37669,40655,66631
Lapeer County,Michigan,Lapeer County,88302,89240,90277,90859,91527,92226,92291,91869,90905,89974,74768
Mahnomen County,Minnesota,Mahnomen County,5172,5173,5136,5087,5050,5074,5030,5063,5061,5025,5044
Lowndes County,Mississippi,Lowndes County,61503,60971,60689,60228,59942,59481,59606,59525,59225,59658,59308
Holt County,Missouri,Holt County,5323,5303,5137,5137,5092,5020,4943,4960,4895,4868,6034
Rosebud County,Montana,Rosebud County,9391,9250,9203,9216,9151,9147,9079,9126,9150,9258,10505
Hitchcock County,Nebraska,Hitchcock County,3104,3086,3036,3013,3011,2899,2889,2856,2841,2806,3750
Rockland County,New York,Rockland County,287455,288602,290035,290614,292625,294636,295927,297005,298747,300173,265475
Haywood County,North Carolina,Haywood County,54107,54559,54912,55340,55804,55828,56192,56671,56875,57109,46948
Slope County,North Dakota,Slope County,760,739,727,713,695,685,687,652,667,649,907
Lawrence County,Ohio,Lawrence County,62252,61991,61871,62183,62157,62447,62773,62758,62692,62744,61834
McClain County,Oklahoma,McClain County,27847,27787,28018,28575,29033,29912,30920,31892,32487,33168,22795
Mifflin County,Pennsylvania,Mifflin County,46491,46473,46416,46172,45987,45954,45934,46007,45973,45937,46197
Union County,South Carolina,Union County,29880,29543,29252,28881,28460,28235,28055,27706,27644,27362,30337
McCook County,South Dakota,McCook County,5849,5868,5787,5790,5821,5809,5692,5725,5640,5619,5688
Jackson County,Tennessee,Jackson County,11032,11116,11092,11079,11069,10979,10841,10850,10934,10875,9297
Collingsworth County,Texas,Collingsworth County,3193,3102,3101,3030,3028,2979,2948,2969,3010,3058,3573
Henrico County,Virginia,Henrico County,263305,266031,268224,271271,276196,281406,285586,289755,292693,296415,217878
Roane County,West Virginia,Roane County,15458,15414,15287,15351,15273,15323,15346,15121,14956,14870,15120
Outagamie County,Wisconsin,Outagamie County,161780,163875,165593,166882,168408,170038,172004,173723,175113,177155,140510
Madison County,Alabama,Madison County,277868,281264,286037,290763,294814,300272,307509,313796,320914,327744,238912
Marion County,Arkansas,Marion County,16156,16202,16094,16046,16177,16317,16584,16609,16802,16594,12001
Shasta County,California,Shasta County,163782,166968,171141,174417,176467,177537,178449,179334,180515,181099,147036
Otero County,Colorado,Otero County,20248,20008,19673,19546,19389,19184,18967,18706,18639,18670,20185
Nassau County,Florida,Nassau County,57949,59123,60458,61513,62909,64526,66529,68441,69815,70576,43941
DeKalb County,Georgia,DeKalb County,668826,682207,690039,697130,704512,716778,727078,733746,740426,747274,546174
Kane County,Illinois,Kane County,407511,423822,440157,453855,466937,475350,485142,495416,504057,511892,317471
Lake County,Indiana,Lake County,484536,484229,483991,484460,485994,487695,489333,491332,493443,494211,475594
Howard County,Iowa,Howard County,9916,9869,9794,9713,9679,9620,9510,9465,9436,9410,9809
Jewell County,Kansas,Jewell County,3759,3612,3496,3420,3345,3260,3248,3187,3123,3059,4251
Greenup County,Kentucky,Greenup County,36832,36896,36780,36929,36916,36946,37342,37508,37771,38020,36796
St. Charles Parish,Louisiana,St. Charles Parish,48160,48412,48960,49039,49524,50116,51759,51946,51619,51611,42437
Leelanau County,Michigan,Leelanau County,21262,21511,21551,21825,21906,21865,21882,21891,21847,21899,16527
Marshall County,Minnesota,Marshall County,10122,9922,9861,9865,9811,9727,9610,9425,9312,9184,10993
Madison County,Mississippi,Madison County,75063,76526,77994,79780,81976,84406,87251,89505,91494,93097,53794
Howard County,Missouri,Howard County,10180,10119,10001,9942,9865,9903,9867,9819,9851,9857,9631
Sanders County,Montana,Sanders County,10248,10404,10344,10383,10676,10732,10862,11008,11052,11096,8669
Holt County,Nebraska,Holt County,11487,11300,11117,10903,10685,10610,10346,10243,10079,10011,12599
St. Lawrence County,New York,St. Lawrence County,111869,111202,110686,110381,110224,110072,109769,109594,109553,109715,111974
Henderson County,North Carolina,Henderson County,89696,91010,92328,93562,94860,96369,98606,100636,102383,103669,69747
Stark County,North Dakota,Stark County,22553,22358,22152,22087,22082,22100,22096,22404,22517,22847,22832
Licking County,Ohio,Licking County,146065,147327,148436,150126,152023,153872,155369,156724,157617,158488,128300
McCurtain County,Oklahoma,McCurtain County,34389,34030,33915,33773,33475,33458,33467,33472,33489,33370,33433
Monroe County,Pennsylvania,Monroe County,139771,143560,148277,152999,156762,160169,162891,164670,165540,166355,95681
Williamsburg County,South Carolina,Williamsburg County,37134,36652,36127,35281,35244,34741,35233,35270,34909,34445,36815
McPherson County,South Dakota,McPherson County,2890,2826,2769,2724,2653,2612,2551,2489,2485,2439,3228
Jefferson County,Tennessee,Jefferson County,44580,45166,45737,46702,47274,47889,49229,50419,51323,51722,33016
Colorado County,Texas,Colorado County,20342,20192,20363,20502,20413,20415,20509,20523,20672,20650,18383
Henry County,Virginia,Henry County,57923,57468,57103,56637,56346,55840,55687,55594,55392,54888,56942
Summers County,West Virginia,Summers County,14323,14159,13909,13803,13610,13467,13308,13202,13025,13081,14204
Ozaukee County,Wisconsin,Ozaukee County,82531,82985,83577,84195,84937,85028,85189,85421,85821,86311,72894
Fairbanks North Star Borough,Alaska,Fairbanks North Star Borough,82769,85233,87329,89198,92301,94451,94803,97952,98351,98660,77720
Marengo County,Alabama,Marengo County,22566,22179,22161,21930,21649,21405,21335,21265,21100,20943,23084
Miller County,Arkansas,Miller County,40434,40637,40987,41450,41861,42294,42812,42901,43326,43522,38467
Sierra County,California,Sierra County,3569,3506,3462,3479,3394,3332,3371,3312,3250,3174,3318
Ouray County,Colorado,Ouray County,3776,3808,3914,3941,4086,4160,4219,4400,4588,4602,2295
Okaloosa County,Florida,Okaloosa County,170966,171966,175924,178644,182220,183398,182462,180911,179529,178473,143777
Dodge County,Georgia,Dodge County,19156,19296,19346,19517,19483,19506,19686,19772,19764,19749,17607
Kankakee County,Illinois,Kankakee County,103879,104816,105416,106096,107424,108453,110108,111725,112719,113215,96255
LaPorte County,Indiana,LaPorte County,110158,110061,109441,108761,108590,109145,109179,110367,110754,111063,107066
Humboldt County,Iowa,Humboldt County,10367,10280,10073,10014,9935,9801,9762,9626,9565,9473,10756
Johnson County,Kansas,Johnson County,454644,463974,475918,486338,496358,505578,516285,525938,535000,542737,355021
Hancock County,Kentucky,Hancock County,8422,8437,8440,8440,8414,8540,8585,8591,8652,8635,7864
St. Helena Parish,Louisiana,St. Helena Parish,10508,10424,10429,10321,10259,10171,10659,10581,10561,10551,9874
Lenawee County,Michigan,Lenawee County,99070,99573,100167,100466,100911,100939,101249,101184,100720,99837,91476
Martin County,Minnesota,Martin County,21772,21425,21202,20993,20847,20714,20492,20406,20383,20245,22914
Marion County,Mississippi,Marion County,25586,25268,25144,25145,25139,25069,25463,25650,25719,25732,25544
Howell County,Missouri,Howell County,37232,37104,37168,37327,37532,38066,38309,38540,38968,38921,31447
Sheridan County,Montana,Sheridan County,4073,3926,3778,3631,3598,3471,3388,3336,3249,3243,4732
Hooker County,Nebraska,Hooker County,782,753,735,738,747,741,747,722,727,723,793
Saratoga County,New York,Saratoga County,201570,204104,206672,209711,211745,213245,214925,216259,217958,220069,181276
Hertford County,North Carolina,Hertford County,22948,23051,23680,23366,23269,23280,23204,23278,23357,23283,22317
Steele County,North Dakota,Steele County,2239,2164,2095,2049,2022,1970,1901,1842,1805,1747,2420
Logan County,Ohio,Logan County,46016,45953,46225,46415,46454,46310,46197,46523,46537,46582,42310
McIntosh County,Oklahoma,McIntosh County,19478,19450,19501,19472,19440,19388,19476,19659,19629,19801,16779
Montgomery County,Pennsylvania,Montgomery County,750975,757879,763218,768240,770700,772142,772968,775631,778452,782339,678193
York County,South Carolina,York County,165723,169534,173729,178008,182992,189505,199590,210624,220032,227003,131497
Marshall County,South Dakota,Marshall County,4581,4457,4341,4266,4339,4373,4318,4243,4237,4160,4844
Johnson County,Tennessee,Johnson County,17517,17671,17720,17893,17917,18031,17922,18074,18063,18006,13766
Comal County,Texas,Comal County,78748,81434,84247,86955,90995,94677,100243,105234,110119,114525,51832
Highland County,Virginia,Highland County,2533,2529,2445,2478,2426,2440,2450,2392,2374,2338,2635
Taylor County,West Virginia,Taylor County,16081,16035,15985,15979,15997,15999,16119,16203,16289,16328,15144
Pepin County,Wisconsin,Pepin County,7199,7242,7319,7325,7395,7407,7371,7377,7359,7293,7107
Marion County,Alabama,Marion County,31149,30588,30235,29972,29712,29493,29585,29501,29378,29116,29830
Mississippi County,Arkansas,Mississippi County,51827,50970,49877,48412,47603,47178,46736,46610,46760,46605,57525
Siskiyou County,California,Siskiyou County,44230,43894,43908,44163,44229,44409,44220,44222,44535,44634,43531
Park County,Colorado,Park County,14696,15346,15919,16242,16420,16560,16656,16964,16997,16762,7174
Okeechobee County,Florida,Okeechobee County,35917,36315,36822,37303,38672,39380,39813,40023,40222,40241,29627
Dooly County,Georgia,Dooly County,11495,11713,11570,11532,11534,11629,11702,11536,11517,11819,9901
Kendall County,Illinois,Kendall County,55217,58093,61755,66868,72336,79054,87864,97112,101499,104821,39413
Lawrence County,Indiana,Lawrence County,45925,45939,45964,46022,45893,45962,45843,45953,45856,45842,42836
Ida County,Iowa,Ida County,7799,7662,7550,7445,7295,7169,7021,6980,6922,6762,8365
Kearny County,Kansas,Kearny County,4512,4536,4447,4349,4361,4303,4233,4138,4140,4169,4027
Hardin County,Kentucky,Hardin County,94295,94729,95071,95349,95582,96842,97092,98064,98795,99770,89240
St. James Parish,Louisiana,St. James Parish,21179,21146,21097,20869,20703,20740,21159,21245,21083,21054,20879
Livingston County,Michigan,Livingston County,158439,163354,168120,171653,175732,179397,182384,182933,182575,183118,115645
Meeker County,Minnesota,Meeker County,22694,22782,22896,22976,23069,23064,23231,23244,23280,23154,20846
Marshall County,Mississippi,Marshall County,35050,35043,35253,35595,35508,35733,35968,36496,36875,36900,30361
Iron County,Missouri,Iron County,10632,10536,10443,10253,10276,10199,10190,10087,9995,9943,10726
Silver Bow County,Montana,Silver Bow County,34520,33717,33351,33052,32869,32737,32646,32590,32776,32949,33941
Howard County,Nebraska,Howard County,6542,6482,6476,6570,6543,6522,6463,6461,6407,6443,6057
Schenectady County,New York,Schenectady County,146481,145997,146612,146967,147707,148687,149973,150288,151252,152169,149285
Hoke County,North Carolina,Hoke County,33860,34623,35785,36700,38127,39752,41207,42293,43648,45148,22856
Stutsman County,North Dakota,Stutsman County,21841,21560,21367,21113,20873,20766,20732,20449,20340,20463,22241
Lorain County,Ohio,Lorain County,285149,286878,289327,293155,295517,299111,301628,302972,304639,305707,271126
Major County,Oklahoma,Major County,7529,7529,7474,7301,7256,7171,7200,7184,7132,7189,8055
Montour County,Pennsylvania,Montour County,18279,18252,18118,18060,17950,17905,17806,17754,17702,17715,17735
Meade County,South Dakota,Meade County,24214,24203,24404,24382,24613,24487,24295,24082,23852,23916,21878
Knox County,Tennessee,Knox County,383059,387819,392935,399091,403432,409530,417230,424716,431072,435725,335749
Comanche County,Texas,Comanche County,13994,13668,13498,13400,13482,13528,13549,13471,13478,13559,13381
Isle of Wight County,Virginia,Isle of Wight County,29873,30203,30644,31436,32165,32892,34114,35090,35553,35877,25053
Tucker County,West Virginia,Tucker County,7294,7215,7227,7148,7044,6962,6863,6830,6840,6812,7728
Pierce County,Wisconsin,Pierce County,36918,37210,37474,37925,38540,38987,39504,39770,40196,40081,32765
Marshall County,Alabama,Marshall County,82333,82191,82922,83592,84161,85298,86760,87970,89200,90399,70832
Monroe County,Arkansas,Monroe County,10179,9928,9667,9522,9218,9087,8848,8568,8355,8171,11333
Solano County,California,Solano County,396974,403862,407855,408397,408346,406605,406181,405994,406293,407234,339469
Phillips County,Colorado,Phillips County,4455,4470,4521,4449,4522,4524,4482,4469,4448,4472,4189
Orange County,Florida,Orange County,902756,927735,946806,965744,993478,1029447,1053941,1066117,1075737,1086480,677491
Dougherty County,Georgia,Dougherty County,95884,96129,95783,95574,95051,95177,94990,95301,95322,95859,96321
Knox County,Illinois,Knox County,55754,55166,54650,53939,53290,52729,52300,51932,51778,51648,56393
Madison County,Indiana,Madison County,133275,132983,132443,131616,131185,130588,130902,130915,131253,131417,130669
Iowa County,Iowa,Iowa County,15708,15780,15756,15827,15801,15911,15932,15794,15750,15811,14630
Kingman County,Kansas,Kingman County,8677,8553,8392,8427,8285,8063,7901,7772,7637,7571,8292
Harlan County,Kentucky,Harlan County,32999,32413,32326,31807,31275,31076,31063,31075,30825,30956,36574
St. John the Baptist Parish,Louisiana,St. John the Baptist Parish,43151,43575,43955,44452,45046,45597,47697,47910,47438,47086,39996
Luce County,Michigan,Luce County,7006,7080,7003,6868,6830,6743,6661,6704,6599,6518,5763
Mille Lacs County,Minnesota,Mille Lacs County,22448,22908,23634,24281,24781,25488,25966,26220,26300,26383,18670
Monroe County,Mississippi,Monroe County,38001,37992,37642,37538,37481,37200,37152,37054,37135,36905,36582
Jackson County,Missouri,Jackson County,655773,658051,662174,666782,671389,675996,680604,685246,700699,705708,633234
Stillwater County,Montana,Stillwater County,8215,8334,8354,8334,8292,8307,8455,8630,8688,8786,6536
Jefferson County,Nebraska,Jefferson County,8338,8251,8167,8021,7933,7793,7694,7454,7333,7238,8759
Schoharie County,New York,Schoharie County,31589,31758,31618,31691,31866,31911,31891,31932,31803,31529,31840
Hyde County,North Carolina,Hyde County,5828,5670,5702,5540,5433,5390,5224,5194,5260,5211,5411
Towner County,North Dakota,Towner County,2857,2769,2703,2616,2542,2464,2393,2300,2223,2209,3627
Lucas County,Ohio,Lucas County,454889,458621,460915,463174,463726,464634,465064,466650,464938,463493,462361
Marshall County,Oklahoma,Marshall County,13150,13312,13533,13629,13901,14365,14594,14871,14958,15014,10829
Northampton County,Pennsylvania,Northampton County,267465,269429,273141,277232,282227,286309,290971,294817,296965,298990,247110
Mellette County,South Dakota,Mellette County,2088,2072,2045,2068,2016,2027,2033,2049,2007,2042,2137
Lake County,Tennessee,Lake County,7940,7955,7882,7829,7616,7511,7454,7412,7338,7303,7129
Concho County,Texas,Concho County,3954,3860,3818,3783,3742,3703,3569,3584,3616,3579,3044
James City County,Virginia,James City County,48491,49575,51326,53138,55282,57240,59656,61277,62410,63735,34779
Tyler County,West Virginia,Tyler County,9586,9486,9354,9292,9267,9214,9104,8983,8869,8680,9796
Polk County,Wisconsin,Polk County,41446,42193,42532,42953,43490,43892,44229,44174,44187,44252,34773
Mobile County,Alabama,Mobile County,400061,400094,398417,397707,397521,398369,402199,405234,409132,411721,378643
Montgomery County,Arkansas,Montgomery County,9270,9174,9044,9068,9102,9065,9081,9068,9097,9009,7841
Sonoma County,California,Sonoma County,460411,464454,463593,463715,463211,461359,459783,461424,466424,472102,388222
Pitkin County,Colorado,Pitkin County,14790,14909,14909,14923,14834,14905,14905,15099,15616,16043,12661
Osceola County,Florida,Osceola County,174182,183420,194071,206016,220191,231926,246259,258283,266609,270618,107728
Douglas County,Georgia,Douglas County,92700,95504,98222,101460,106596,112370,118777,124324,128111,129703,71120
Lake County,Illinois,Lake County,648116,660454,671443,676086,684394,691815,698305,702479,707622,712567,516418
Marion County,Indiana,Marion County,860972,865100,864857,865923,866945,868883,873347,878190,883107,890879,797159
Jackson County,Iowa,Jackson County,20302,20252,20116,20098,20078,20035,19988,19906,19804,19728,19950
Kiowa County,Kansas,Kiowa County,3254,3133,3101,3107,3047,2984,2918,2708,2297,2322,3660
Harrison County,Kentucky,Harrison County,18025,18012,17992,18122,18156,18208,18352,18585,18717,18794,16248
St. Landry Parish,Louisiana,St. Landry Parish,87711,87605,87787,87935,88273,88593,90756,91291,91948,92326,80312
Mackinac County,Michigan,Mackinac County,11925,11711,11558,11411,11320,11194,10999,10906,10667,10591,10674
Morrison County,Minnesota,Morrison County,31793,32042,32280,32293,32309,32444,32548,32737,32973,32883,29604
Montgomery County,Mississippi,Montgomery County,12124,12077,11891,11729,11611,11597,11596,11485,11251,11129,12387
Jasper County,Missouri,Jasper County,105012,105839,107051,108162,109532,110999,112991,114979,116634,118179,90465
Sweet Grass County,Montana,Sweet Grass County,3639,3592,3607,3571,3646,3636,3651,3725,3695,3667,3154
Johnson County,Nebraska,Johnson County,4481,4361,4850,5015,5289,5154,5148,5043,5092,5077,4673
Schuyler County,New York,Schuyler County,19281,19252,19268,19261,19176,19037,18931,18923,18868,18720,18662
Iredell County,North Carolina,Iredell County,123617,127141,130315,132950,136282,140142,146380,151442,155613,158153,93205
Traill County,North Dakota,Traill County,8467,8312,8246,8174,8197,8121,8011,8071,7912,7868,8752
Madison County,Ohio,Madison County,40208,40175,40353,40578,40714,40781,41269,41702,41856,42539,37078
Mayes County,Oklahoma,Mayes County,38430,38449,38476,38660,38843,39049,39361,39769,40084,40065,33366
Northumberland County,Pennsylvania,Northumberland County,94472,93534,93063,92585,92057,91561,91190,91148,91220,91311,96771
Miner County,South Dakota,Miner County,2882,2811,2750,2623,2580,2532,2494,2433,2393,2420,3272
Lauderdale County,Tennessee,Lauderdale County,27062,27166,27075,26907,26637,26587,26582,26599,26602,26471,23491
Cooke County,Texas,Cooke County,36462,36898,37457,37685,37918,38251,38366,38422,38430,38650,30777
King and Queen County,Virginia,King and Queen County,6616,6593,6560,6517,6685,6724,6833,6858,6820,6796,6289
Upshur County,West Virginia,Upshur County,23411,23324,23328,23601,23608,23384,23487,23550,23605,23806,22867
Portage County,Wisconsin,Portage County,67252,67341,67485,67436,67402,67566,67917,68534,68977,69176,61405
Monroe County,Alabama,Monroe County,24281,24004,23803,23532,23351,23169,22986,22759,22648,22389,23968
Nevada County,Arkansas,Nevada County,9920,9810,9701,9641,9592,9535,9442,9331,9149,9164,10101
Stanislaus County,California,Stanislaus County,449702,463783,477197,486512,491558,498592,502989,506411,507450,510385,370522
Prowers County,Colorado,Prowers County,14444,14251,14170,13992,13784,13684,13370,13006,12989,12982,13347
Palm Beach County,Florida,Palm Beach County,1135318,1157710,1185745,1208940,1240191,1262956,1265707,1264648,1269745,1279950,863503
Early County,Georgia,Early County,12339,12297,12185,12166,12031,12015,11974,11807,11698,11568,11854
LaSalle County,Illinois,LaSalle County,111516,111976,111504,110468,111407,111660,112075,112498,112732,112498,106913
Marshall County,Indiana,Marshall County,45245,45509,45453,45791,46113,46317,46578,46540,46687,46903,42182
Jasper County,Iowa,Jasper County,37215,37266,37366,37400,37256,37011,36735,36567,36460,36257,34795
Labette County,Kansas,Labette County,22737,22458,22248,22127,21938,21930,21940,21954,21807,21776,23693
Hart County,Kentucky,Hart County,17532,17307,17604,17780,17876,18108,18194,18289,18451,18396,14890
St. Martin Parish,Louisiana,St. Martin Parish,48654,49068,49340,49579,49872,50010,51180,51623,52114,52217,44097
Macomb County,Michigan,Macomb County,790821,799945,807022,813378,820015,824286,827719,828875,830037,831427,717400
Mower County,Minnesota,Mower County,38673,38679,38498,38459,38534,38192,38139,38066,37985,38215,37385
Neshoba County,Mississippi,Neshoba County,28715,28490,28644,29024,29421,29698,29767,29871,30106,30302,24800
Jefferson County,Missouri,Jefferson County,198740,200669,202619,205097,208186,210615,213768,215904,217599,219046,171380
Teton County,Montana,Teton County,6435,6383,6298,6328,6223,6116,6123,6161,6171,6088,6271
Kearney County,Nebraska,Kearney County,6886,6830,6766,6771,6738,6651,6562,6573,6506,6460,6629
Seneca County,New York,Seneca County,33343,34635,34730,34712,34640,34318,34201,34276,34060,34049,33683
Jackson County,North Carolina,Jackson County,33274,33619,34063,34883,35465,35682,36428,36447,36789,36891,26835
Walsh County,North Dakota,Walsh County,12356,12095,11778,11651,11482,11370,11188,11007,10899,10798,13840
Mahoning County,Ohio,Mahoning County,257053,254855,252205,250382,248133,245598,243646,240767,238609,236735,264806
Murray County,Oklahoma,Murray County,12589,12655,12581,12565,12500,12566,12685,12646,12787,12960,12042
Perry County,Pennsylvania,Perry County,43612,43750,43804,44058,44268,44493,44835,45157,45251,45502,41172
Minnehaha County,South Dakota,Minnehaha County,149117,152714,155817,159575,163350,167375,172333,176125,179862,183048,123809
Lawrence County,Tennessee,Lawrence County,39961,39993,40492,40464,40484,40641,40595,40884,41060,41314,35303
Coryell County,Texas,Coryell County,75010,73772,73341,73573,72666,73148,71741,72605,73062,72529,64226
King George County,Virginia,King George County,16908,17133,17749,18434,19200,20560,21595,22551,23165,23557,13527
Wayne County,West Virginia,Wayne County,42900,42702,42409,42344,42190,41913,41605,41482,41361,41119,41636
Price County,Wisconsin,Price County,15809,15553,15388,15321,15138,14977,14805,14479,14345,14214,15600
Haines Borough,Alaska,Haines Borough,2397,2321,2301,2309,2243,2232,2245,2315,2327,2399,2117
Montgomery County,Alabama,Montgomery County,223413,222901,222936,222486,222085,222220,225333,225648,224525,224119,209085
Newton County,Arkansas,Newton County,8647,8523,8506,8561,8437,8381,8377,8313,8294,8191,7666
Sutter County,California,Sutter County,79149,79941,81767,84067,85653,87670,89746,91497,92127,92614,64409
Pueblo County,Colorado,Pueblo County,141839,144130,146735,147931,148578,149677,151814,154348,156009,157224,123051
Pasco County,Florida,Pasco County,347318,358627,371409,385513,404697,425683,444325,459566,468384,471709,281131
Echols County,Georgia,Echols County,3794,3816,3823,3946,4062,4116,4113,4155,4190,4213,2334
Lawrence County,Illinois,Lawrence County,15390,15271,16042,16407,16460,16730,16489,16598,16525,16408,15972
Martin County,Indiana,Martin County,10359,10279,10277,10203,10220,10145,10135,10096,10014,9946,10369
Jefferson County,Iowa,Jefferson County,16154,16035,15806,15721,15684,15553,15491,15532,15431,15472,16310
Lane County,Kansas,Lane County,2145,2099,1972,1943,1899,1828,1758,1738,1730,1742,2375
Henderson County,Kentucky,Henderson County,44816,44787,44940,44958,45035,45107,45141,45162,45466,45496,43044
St. Mary Parish,Louisiana,St. Mary Parish,53256,52528,52189,51898,51541,50871,51569,51163,51005,50815,58086
Manistee County,Michigan,Manistee County,24629,24707,24874,25074,24847,24950,24924,24778,24612,24439,21265
Murray County,Minnesota,Murray County,9143,9059,8972,8901,8807,8694,8621,8485,8427,8416,9660
Newton County,Mississippi,Newton County,21851,21855,21706,21802,21884,22022,22317,22562,22545,22568,20291
Johnson County,Missouri,Johnson County,48481,49310,49884,50538,51212,51473,51687,52009,52161,52657,42514
Toole County,Montana,Toole County,5262,5272,5272,5032,5083,5221,5139,4989,5052,5151,5046
Keith County,Nebraska,Keith County,8860,8720,8641,8334,8197,8105,8003,8000,7803,7760,8584
Steuben County,New York,Steuben County,98776,98935,98996,98253,97735,97287,96648,96430,96452,96552,99088
Johnston County,North Carolina,Johnston County,123309,127686,132422,136034,140601,145097,150592,156916,163311,168525,81306
Ward County,North Dakota,Ward County,58684,57749,57128,56800,56996,56458,56099,56092,56104,57012,57921
Marion County,Ohio,Marion County,66151,66004,65878,65900,65738,65712,65465,65504,65629,65655,64274
Muskogee County,Oklahoma,Muskogee County,69412,69506,69508,69950,69903,70210,70431,70686,70750,71412,68078
Philadelphia County,Pennsylvania,Philadelphia County,1513800,1512507,1510550,1510068,1514658,1517628,1520251,1530031,1540351,1547297,1585577
Moody County,South Dakota,Moody County,6580,6581,6504,6447,6481,6495,6482,6512,6438,6375,6507
Lewis County,Tennessee,Lewis County,11373,11393,11393,11398,11372,11333,11436,11528,11510,11521,9247
Cottle County,Texas,Cottle County,1890,1783,1738,1710,1702,1671,1605,1542,1566,1566,2247
King William County,Virginia,King William County,13199,13436,13669,13930,14141,14487,15133,15627,15987,16225,10913
Webster County,West Virginia,Webster County,9688,9656,9671,9686,9731,9606,9561,9455,9486,9444,10729
Racine County,Wisconsin,Racine County,188991,190000,191469,193119,194891,197025,198398,199603,200109,200601,175034
Morgan County,Alabama,Morgan County,111194,111494,111397,112287,112210,112951,114297,115148,116297,117293,100043
Ouachita County,Arkansas,Ouachita County,28685,28049,27607,27318,26875,26626,26281,26023,25718,25432,30574
Tehama County,California,Tehama County,56136,56474,57000,57933,58784,59587,60374,60764,61143,61138,49625
Rio Blanco County,Colorado,Rio Blanco County,5979,5846,5909,5859,5918,5832,6033,6198,6318,6534,6051
Pinellas County,Florida,Pinellas County,922261,923153,923557,923484,924605,924628,918551,912764,910058,909013,851659
Effingham County,Georgia,Effingham County,37812,39310,41088,42630,44288,46508,48787,50838,52110,53541,25687
Lee County,Illinois,Lee County,36053,35913,35477,35096,35072,34863,34963,35150,35075,34919,34392
Miami County,Indiana,Miami County,36160,36336,36761,36829,36558,36759,36918,36646,36214,36001,36897
Johnson County,Iowa,Johnson County,111481,113878,115560,117459,119747,121191,123171,125536,128145,131005,96119
Leavenworth County,Kansas,Leavenworth County,68921,69796,70756,71205,71409,71762,72574,73603,74355,75227,64371
Henry County,Kentucky,Henry County,15097,15219,15253,15436,15546,15621,15772,15824,15934,16060,12823
St. Tammany Parish,Louisiana,St. Tammany Parish,192179,195718,200873,205883,211529,217407,223062,226315,229384,231495,144500
Marquette County,Michigan,Marquette County,64597,64616,64751,64623,65063,65029,65129,65165,65462,65703,70887
Nicollet County,Minnesota,Nicollet County,29903,30185,30432,30574,30805,30964,31524,31788,31968,32224,28076
Noxubee County,Mississippi,Noxubee County,12543,12438,12307,12134,12045,11951,11849,11853,11785,11631,12604
Knox County,Missouri,Knox County,4355,4279,4248,4204,4171,4109,4066,4039,4005,3981,4482
Treasure County,Montana,Treasure County,854,821,765,742,741,698,680,654,650,612,874
Keya Paha County,Nebraska,Keya Paha County,979,961,949,953,930,890,877,841,821,802,1029
Suffolk County,New York,Suffolk County,1423512,1448987,1468240,1486783,1499838,1504285,1507211,1511732,1513435,1518475,1321339
Jones County,North Carolina,Jones County,10380,10290,10172,10018,10161,10075,10001,10031,9960,10071,9361
Wells County,North Dakota,Wells County,5079,4874,4766,4647,4564,4475,4316,4218,4150,4092,5864
Medina County,Ohio,Medina County,151834,154630,157925,160803,163694,165712,168227,169894,171861,174035,122354
Noble County,Oklahoma,Noble County,11378,11413,11266,11237,11179,11112,11030,10964,11000,10950,11045
Pike County,Pennsylvania,Pike County,46607,48023,49712,51695,53404,55357,57232,58582,59975,60529,28032
Pennington County,South Dakota,Pennington County,88794,89974,90831,91467,92890,93488,94817,96517,98845,100850,81343
Lincoln County,Tennessee,Lincoln County,31396,31564,31616,31746,31765,32121,32434,32733,33156,33374,28157
Crane County,Texas,Crane County,3949,3891,3867,3804,3801,3742,3738,3862,4021,4165,4652
Lancaster County,Virginia,Lancaster County,11586,11415,11426,11500,11464,11459,11480,11491,11382,11230,10896
Wetzel County,West Virginia,Wetzel County,17672,17300,17183,17048,17003,16875,16650,16463,16321,16226,19258
